new,host,a,soa,txt,status_code,aaaa,cname,ns,mx
[x],lyncdiscover.yeswehack.com,,"admin.nsatc.net, dns.level3.net",,NOERROR,2603:1037:0:c::12,webdir.online.lync.com,,
,admin.demo.yeswehack.com,149.202.237.200,"gns1.cloudns.net, support.cloudns.net",,NOERROR,,,,
,api.demo.yeswehack.com,149.202.237.200,"gns1.cloudns.net, support.cloudns.net",,NOERROR,,,,
,api.yeswehack.com,46.105.167.133,"gns1.cloudns.net, support.cloudns.net",,NOERROR,,,,
,apps.yeswehack.com,46.105.167.133,"gns1.cloudns.net, support.cloudns.net",,NOERROR,,,,
,autodiscover.yeswehack.com,"40.99.211.8, 40.99.210.8, 40.99.218.152, 40.99.211.24","ns1-34.azure-dns.com, azuredns-hostmaster.microsoft.com, ns1-ms-acdc.office.com, hostmaster.microsoft.com",,NOERROR,"2603:1026:c13:c04::8, 2603:1026:c13:100b::8, 2603:1026:c13:80c::8, 2603:1026:c13:100a::8","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,
,bbjobs.yeswehack.com,137.74.99.150,"gns1.cloudns.net, support.cloudns.net",,NOERROR,,,,
,blog.yeswehack.com,164.132.15.54,"gns1.cloudns.net, support.cloudns.net",,NOERROR,,,,
,changelog.yeswehack.com,164.132.15.54,"gns1.cloudns.net, support.cloudns.net",,NOERROR,,,,
,contact.yeswehack.com,164.132.15.54,"gns1.cloudns.net, support.cloudns.net",,NOERROR,,,,
,demo.yeswehack.com,149.202.237.200,"gns1.cloudns.net, support.cloudns.net",,NOERROR,,,,
,docs.yeswehack.com,137.74.99.149,"gns1.cloudns.net, support.cloudns.net",,NOERROR,,,,
,event.yeswehack.com,46.105.167.133,"gns1.cloudns.net, support.cloudns.net",,NOERROR,,,,
,files.demo.yeswehack.com,149.202.237.200,"gns1.cloudns.net, support.cloudns.net",,NOERROR,,,,
,jobs.yeswehack.com,46.105.167.130,"gns1.cloudns.net, support.cloudns.net",,NOERROR,,,,
,mail.yeswehack.com,87.98.155.117,"gns1.cloudns.net, support.cloudns.net",v=spf1 a include:spf.protection.outlook.com -all,NOERROR,,,,
,pj.demo.yeswehack.com,,"gns1.cloudns.net, support.cloudns.net",,NOERROR,,,,
,qrcode.yeswehack.com,137.74.99.149,"gns1.cloudns.net, support.cloudns.net",,NOERROR,,,,
,sip.yeswehack.com,52.112.193.13,"admin.nsatc.net, dns.level3.net",,NOERROR,2603:1027:0:48::20,sipdir.online.lync.com,,
,storage.yeswehack.com,46.105.167.136,"gns1.cloudns.net, support.cloudns.net",,NOERROR,,,"gns1.cloudns.net, gns3.cloudns.net, gns2.cloudns.net, gns4.cloudns.net",
,vdp.yeswehack.com,46.105.167.134,"ns1.gandi.net, hostmaster.gandi.net","v=spf1 ip4:176.31.123.127/32 ?all, google-site-verification=TcISelvt9EGkMbwWUegRZY6hMeKqZak7sMoR9EykTwU",NOERROR,,zerodisclo.com,"ns-115-b.gandi.net, ns-43-c.gandi.net, ns-131-a.gandi.net",mail.yeswehack.com
,vpn.yeswehack.com,46.105.167.131,"gns1.cloudns.net, support.cloudns.net",,NOERROR,,,,
,webmail.yeswehack.com,87.98.155.117,"gns1.cloudns.net, support.cloudns.net",v=spf1 a include:spf.protection.outlook.com -all,NOERROR,,mail.yeswehack.com,,
,www.yeswehack.com,164.132.15.54,"gns1.cloudns.net, support.cloudns.net",,NOERROR,,,,
,yeswehack.com,46.105.167.133,"gns1.cloudns.net, support.cloudns.net","google-site-verification=VjBoeAJr4YH6UHoW0p0Em2yZY9nP2wWjmwAL05aLYaw, v=spf1 ip4:87.98.155.117/32 include:spf.protection.outlook.com -all, MS=ms68739855, atlassian-domain-verification=RfGGSlKu1By07p6E9OYdq4IysTxaQHoMWrdnsEmIhp6FHvcvZE2YlR8ZM8IHQhHm, ZOOM_verify_DLtylQSqTH6sALgGE9wxOw",NOERROR,,,"gns1.cloudns.net, gns2.cloudns.net, gns3.cloudns.net, gns4.cloudns.net",yeswehack-com.mail.protection.outlook.com
