input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,final_url,a_,tech_,lines,failed,webserver,csp_domains_,tls_mismatched
backup.reveantivirus.com,REVE EPS Data Backup | Login,200,17800,backup.reveantivirus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-01T00:00:00Z,2024-01-01T23:59:59Z,CN=*.reveantivirus.com,*.reveantivirus.com,reveantivirus.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,c6ea63da423b286c3f9281e9724e5b00,eac56718b472964cc01c2ee9a0513853867be8871034493edc7cb053978df17b,True,ctls,backup.reveantivirus.com,443,https://backup.reveantivirus.com:443,https,text/html,GET,217.172.189.154,/,-764209267,https://backup.reveantivirus.com/login/login.jsp,217.172.189.154,Java,344,False,,,
cpanel.endpointcloud.reveantivirus.com,cPanel Login,200,37157,cpanel.endpointcloud.reveantivirus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-27T00:00:00Z,2023-06-25T23:59:59Z,CN=cpanelserver.revesoft.com,cpanelserver.revesoft.com,www.cpanelserver.revesoft.com,"CN=cPanel\, Inc. Certification Authority, O=cPanel\, Inc., L=Houston, ST=TX, C=US","cPanel, Inc. Certification Authority","cPanel, Inc.",a18ede250b59d5a1bd08df6a779ebc32,e0329f128485084d6c1b80854fe66545fb2ae9f0274f3ff949c2b9cb9ec1c19f,,ctls,cpanel.endpointcloud.reveantivirus.com,443,https://cpanel.endpointcloud.reveantivirus.com:443,https,text/html,GET,72.21.26.168,/,2097983167,,72.21.26.168,cPanel,297,False,Apache,,True
cpanel.info.reveantivirus.com,cPanel Login,200,37157,cpanel.info.reveantivirus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-05-29T23:59:59Z,CN=info.reveantivirus.com,info.reveantivirus.com,www.info.reveantivirus.com,"CN=cPanel\, Inc. Certification Authority, O=cPanel\, Inc., L=Houston, ST=TX, C=US","cPanel, Inc. Certification Authority","cPanel, Inc.",32be099f3f11478bb7f492b5952023e2,13424bdf43fb603dd6d2affb2ddf19ece7973a656942cfbe624bc76c89f02a63,,ctls,cpanel.info.reveantivirus.com,443,https://cpanel.info.reveantivirus.com:443,https,text/html,GET,72.21.26.167,/,-255328957,,72.21.26.167,cPanel,297,False,Apache,,
cpanel.reveantivirus.com,cPanel Login,200,37157,cpanel.reveantivirus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T00:00:00Z,2023-07-11T23:59:59Z,CN=reveantivirus.com,reveantivirus.com,www.reveantivirus.com,"CN=cPanel\, Inc. Certification Authority, O=cPanel\, Inc., L=Houston, ST=TX, C=US","cPanel, Inc. Certification Authority","cPanel, Inc.",12c676987bdf690b57741d05808f9d32,b89f57590f08b4336c61839f647659a7bc850cea5158f09eed3d183ca5614998,,ctls,cpanel.reveantivirus.com,443,https://cpanel.reveantivirus.com:443,https,text/html,GET,72.21.26.166,/,2097983167,,72.21.26.166,cPanel,297,False,Apache,,
cpcalendars.endpointcloud.reveantivirus.com,503 Service Unavailable,503,428,cpcalendars.endpointcloud.reveantivirus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-27T00:00:00Z,2023-06-25T23:59:59Z,CN=cpanelserver.revesoft.com,cpanelserver.revesoft.com,www.cpanelserver.revesoft.com,"CN=cPanel\, Inc. Certification Authority, O=cPanel\, Inc., L=Houston, ST=TX, C=US","cPanel, Inc. Certification Authority","cPanel, Inc.",a18ede250b59d5a1bd08df6a779ebc32,e0329f128485084d6c1b80854fe66545fb2ae9f0274f3ff949c2b9cb9ec1c19f,,ctls,cpcalendars.endpointcloud.reveantivirus.com,443,https://cpcalendars.endpointcloud.reveantivirus.com:443,https,text/html,GET,72.21.26.168,/,-991427891,,72.21.26.168,Apache,12,False,Apache,,True
cpcalendars.info.reveantivirus.com,503 Service Unavailable,503,428,cpcalendars.info.reveantivirus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-05-29T23:59:59Z,CN=info.reveantivirus.com,info.reveantivirus.com,www.info.reveantivirus.com,"CN=cPanel\, Inc. Certification Authority, O=cPanel\, Inc., L=Houston, ST=TX, C=US","cPanel, Inc. Certification Authority","cPanel, Inc.",32be099f3f11478bb7f492b5952023e2,13424bdf43fb603dd6d2affb2ddf19ece7973a656942cfbe624bc76c89f02a63,,ctls,cpcalendars.info.reveantivirus.com,443,https://cpcalendars.info.reveantivirus.com:443,https,text/html,GET,72.21.26.167,/,-991427891,,72.21.26.167,Apache,12,False,Apache,,
cpcontacts.info.reveantivirus.com,503 Service Unavailable,503,428,cpcontacts.info.reveantivirus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-05-29T23:59:59Z,CN=info.reveantivirus.com,info.reveantivirus.com,www.info.reveantivirus.com,"CN=cPanel\, Inc. Certification Authority, O=cPanel\, Inc., L=Houston, ST=TX, C=US","cPanel, Inc. Certification Authority","cPanel, Inc.",32be099f3f11478bb7f492b5952023e2,13424bdf43fb603dd6d2affb2ddf19ece7973a656942cfbe624bc76c89f02a63,,ctls,cpcontacts.info.reveantivirus.com,443,https://cpcontacts.info.reveantivirus.com:443,https,text/html,GET,72.21.26.167,/,-991427891,,72.21.26.167,Apache,12,False,Apache,,
ftp.info.reveantivirus.com,,200,141,ftp.info.reveantivirus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-05-29T23:59:59Z,CN=info.reveantivirus.com,info.reveantivirus.com,www.info.reveantivirus.com,"CN=cPanel\, Inc. Certification Authority, O=cPanel\, Inc., L=Houston, ST=TX, C=US","cPanel, Inc. Certification Authority","cPanel, Inc.",32be099f3f11478bb7f492b5952023e2,13424bdf43fb603dd6d2affb2ddf19ece7973a656942cfbe624bc76c89f02a63,,ctls,ftp.info.reveantivirus.com,443,https://ftp.info.reveantivirus.com:443,https,text/html,GET,72.21.26.167,/,47580528,,72.21.26.167,Apache,6,False,Apache,url=https://www.ic-rmm1.eu/ic-cmtp/?setevent=6,True
mail.reveantivirus.com,403 Forbidden,403,318,mail.reveantivirus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T00:00:00Z,2023-07-11T23:59:59Z,CN=reveantivirus.com,reveantivirus.com,www.reveantivirus.com,"CN=cPanel\, Inc. Certification Authority, O=cPanel\, Inc., L=Houston, ST=TX, C=US","cPanel, Inc. Certification Authority","cPanel, Inc.",12c676987bdf690b57741d05808f9d32,b89f57590f08b4336c61839f647659a7bc850cea5158f09eed3d183ca5614998,,ctls,mail.reveantivirus.com,443,https://mail.reveantivirus.com:443,https,text/html,GET,72.21.26.166,/,-1812417198,,72.21.26.166,Apache,10,False,Apache,,
myaccount.reveantivirus.com,Welcome to REVE Antivirus Dashboard,200,11565,myaccount.reveantivirus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,2023-01-01T00:00:00Z,2024-01-01T23:59:59Z,CN=*.reveantivirus.com,*.reveantivirus.com,reveantivirus.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,c6ea63da423b286c3f9281e9724e5b00,eac56718b472964cc01c2ee9a0513853867be8871034493edc7cb053978df17b,True,ctls,myaccount.reveantivirus.com,443,https://myaccount.reveantivirus.com:443,https,text/html,GET,149.20.185.2,/,-1383134146,https://myaccount.reveantivirus.com/login/index.htm,149.20.185.2,Java,289,False,,,
