input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,tech_,lines,cdn
*.facebook.com,Facebook - log in or sign up,,57949,m.facebook.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-02-15T00:00:00Z,"CN=*.facebook.com, O=Meta Platforms\, Inc., L=Menlo Park, ST=California, C=US",*.facebook.com,"Meta Platforms, Inc.","CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,ctls,m.facebook.com,443,https://facebook.com:443,https,,text/html,GET,157.240.252.35,HTTP/3,21,
*.freshdesk.com,Freshdesk: Customer Service Software | Freshworks,,370151,www.freshworks.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,CN=*.freshworks.com,*.freshworks.com,,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,www.freshworks.com,443,https://freshdesk.com:443,https,,text/html,GET,143.204.215.120,Linkedin Ads,469,True
*.freshworks.com,Innovative Software for Business Needs | Freshworks,,395237,www.freshworks.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,CN=*.freshworks.com,*.freshworks.com,,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,www.freshworks.com,443,https://freshworks.com:443,https,,text/html,GET,18.66.97.53,Linkedin Ads,435,True
*.google-analytics.com,Analytics Tools & Solutions for Your Business - Google Analytics,,118519,marketingplatform.google.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:16:32Z,CN=*.google.com,*.google.com,,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ctls,marketingplatform.google.com,443,https://google-analytics.com:443,https,sffe,text/html,GET,172.217.18.4,HTTP/3,1831,
*.intercom.io,Making Internet Business Personal | Intercom,,954333,www.intercom.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,CN=*.intercom.com,*.intercom.com,,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ctls,www.intercom.com,443,https://intercom.io:443,https,nginx,text/html,GET,52.222.214.17,Nginx,12,True
*.intercomcdn.com,Making Internet Business Personal | Intercom,,954369,www.intercom.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,CN=*.intercom.com,*.intercom.com,,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ctls,www.intercom.com,443,https://intercomcdn.com:443,https,nginx,text/html,GET,18.66.112.33,Nginx,12,True
*.segment.com,"Twilio Segment - Ranked #1 Customer Data Platform for 2021 market share, IDC 2022",,239781,segment.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,CN=*.segment.com,*.segment.com,,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ctls,segment.com,443,https://segment.com:443,https,nginx,text/html,GET,54.200.62.194,Nginx,5,
*.segment.io,"Twilio Segment - Ranked #1 Customer Data Platform for 2021 market share, IDC 2022",,239781,segment.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,CN=*.segment.com,*.segment.com,,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ctls,segment.com,443,https://segment.io:443,https,nginx,text/html,GET,34.214.113.51,Nginx,5,
*.wp.com,"WordPress.com: Build a Site, Sell Your Stuff, Start a Blog & More",,180503,wordpress.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-11-23T00:00:00Z,CN=*.wordpress.com,*.wordpress.com,,"CN=Sectigo ECC Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo ECC Domain Validation Secure Server CA,Sectigo Limited,ctls,wordpress.com,443,https://wp.com:443,https,nginx,text/html,GET,192.0.78.25,WordPress.com,3544,
api.bugcrowd.com,Bugcrowd | Error,,5977,api.bugcrowd.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-19T00:00:00Z,"CN=bugcrowd.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bugcrowd.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,api.bugcrowd.com,443,https://api.bugcrowd.com:443,https,cloudflare,text/html,GET,104.20.7.68,HSTS,33,True
