input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,tech_,lines,cdn,tls_subject_org_,tls_expired,tls_self_signed
0down.bbu.gts.bitdefender.net,403 Forbidden,,548,,,,,,,,,,,,,80,http://0down.bbu.gts.bitdefender.net:80,http,nginx,text/html,GET,195.189.155.152,Nginx,14,,,,
0upmidg.cdn.bitdefender.net,403 Forbidden,,153,0upmidg.cdn.bitdefender.net,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-30T00:00:00Z,CN=secupgr.cdn.bitdefender.net,secupgr.cdn.bitdefender.net,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,ctls,0upmidg.cdn.bitdefender.net,443,https://0upmidg.cdn.bitdefender.net:443,https,nginx,text/html,GET,65.21.33.136,Nginx,8,,,,
a001.buc.gts.kdn.bitdefender.net,,,2,a001.buc.gts.kdn.bitdefender.net,443,tls13,TLS_AES_256_GCM_SHA384,2023-01-09T00:00:00Z,"CN=*.kdn.bitdefender.net, O=Bitdefender SRL, L=Bucharest, C=RO",*.kdn.bitdefender.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,a001.buc.gts.kdn.bitdefender.net,443,https://a001.buc.gts.kdn.bitdefender.net:443,https,nginx,application/json,GET,81.161.59.41,Nginx,1,,Bitdefender SRL,,
a001bucgts.kdn.bitdefender.net,,,2,a001bucgts.kdn.bitdefender.net,443,tls13,TLS_AES_256_GCM_SHA384,2023-01-09T00:00:00Z,"CN=*.kdn.bitdefender.net, O=Bitdefender SRL, L=Bucharest, C=RO",*.kdn.bitdefender.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,a001bucgts.kdn.bitdefender.net,443,https://a001bucgts.kdn.bitdefender.net:443,https,nginx,application/json,GET,81.161.59.41,Nginx,1,,Bitdefender SRL,,
a002bucgts.kdn.bitdefender.net,,,2,a002bucgts.kdn.bitdefender.net,443,tls13,TLS_AES_256_GCM_SHA384,2023-01-09T00:00:00Z,"CN=*.kdn.bitdefender.net, O=Bitdefender SRL, L=Bucharest, C=RO",*.kdn.bitdefender.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,a002bucgts.kdn.bitdefender.net,443,https://a002bucgts.kdn.bitdefender.net:443,https,nginx,application/json,GET,81.161.59.53,Nginx,1,,Bitdefender SRL,,
a003bucgts.kdn.bitdefender.net,,,2,a003bucgts.kdn.bitdefender.net,443,tls13,TLS_AES_256_GCM_SHA384,2023-01-09T00:00:00Z,"CN=*.kdn.bitdefender.net, O=Bitdefender SRL, L=Bucharest, C=RO",*.kdn.bitdefender.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,a003bucgts.kdn.bitdefender.net,443,https://a003bucgts.kdn.bitdefender.net:443,https,nginx,application/json,GET,81.161.59.56,Nginx,1,,Bitdefender SRL,,
a004bucgts.kdn.bitdefender.net,,,2,a004bucgts.kdn.bitdefender.net,443,tls13,TLS_AES_256_GCM_SHA384,2023-01-09T00:00:00Z,"CN=*.kdn.bitdefender.net, O=Bitdefender SRL, L=Bucharest, C=RO",*.kdn.bitdefender.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,a004bucgts.kdn.bitdefender.net,443,https://a004bucgts.kdn.bitdefender.net:443,https,nginx,application/json,GET,81.161.59.65,Nginx,1,,Bitdefender SRL,,
a005bucgts.kdn.bitdefender.net,,,2,a005bucgts.kdn.bitdefender.net,443,tls13,TLS_AES_256_GCM_SHA384,2023-01-09T00:00:00Z,"CN=*.kdn.bitdefender.net, O=Bitdefender SRL, L=Bucharest, C=RO",*.kdn.bitdefender.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,a005bucgts.kdn.bitdefender.net,443,https://a005bucgts.kdn.bitdefender.net:443,https,nginx,application/json,GET,81.161.59.66,Nginx,1,,Bitdefender SRL,,
a020bucgts.kdn.bitdefender.net,,,2,a020bucgts.kdn.bitdefender.net,443,tls13,TLS_AES_256_GCM_SHA384,2023-01-09T00:00:00Z,"CN=*.kdn.bitdefender.net, O=Bitdefender SRL, L=Bucharest, C=RO",*.kdn.bitdefender.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,a020bucgts.kdn.bitdefender.net,443,https://a020bucgts.kdn.bitdefender.net:443,https,nginx,application/json,GET,81.161.59.151,Nginx,1,,Bitdefender SRL,,
a021bucgts.kdn.bitdefender.net,,,2,a021bucgts.kdn.bitdefender.net,443,tls13,TLS_AES_256_GCM_SHA384,2023-01-09T00:00:00Z,"CN=*.kdn.bitdefender.net, O=Bitdefender SRL, L=Bucharest, C=RO",*.kdn.bitdefender.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,a021bucgts.kdn.bitdefender.net,443,https://a021bucgts.kdn.bitdefender.net:443,https,nginx,application/json,GET,81.161.59.152,Nginx,1,,Bitdefender SRL,,
