input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,final_url,tls_wildcard_certificate,cdn_name,cdn,tls_subject_org_,location
3p-pclick.www.cryptojourney.com,,410,3,AS16509,AS16509,Unknown,3.64.0.0/12,3p-pclick.www.cryptojourney.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-12-21T20:40:20Z,2024-01-22T20:40:20Z,CN=dan.com,dan.com,undeveloped.nu,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",b5b21a82544194f1a8a141b54dd8d024,041660297f6cd8de1a528c007f9df74407a1ce6b372e568acc899f78732fade6,ctls,3p-pclick.www.cryptojourney.com,443,https://3p-pclick.www.cryptojourney.com:443,https,openresty,application/octet-stream,GET,3.64.163.50,/,,3.64.163.50,OpenResty,2,False,,,,,,
7wkce.ftp.cryptojourney.com,,410,3,AS16509,AS16509,Unknown,3.64.0.0/12,7wkce.ftp.cryptojourney.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-12-21T20:40:20Z,2024-01-22T20:40:20Z,CN=dan.com,dan.com,undeveloped.nu,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",b5b21a82544194f1a8a141b54dd8d024,041660297f6cd8de1a528c007f9df74407a1ce6b372e568acc899f78732fade6,ctls,7wkce.ftp.cryptojourney.com,443,https://7wkce.ftp.cryptojourney.com:443,https,openresty,application/octet-stream,GET,3.64.163.50,/,,3.64.163.50,OpenResty,2,False,,,,,,
alkopona.cryptojourney.com,,410,3,AS16509,AS16509,Unknown,3.64.0.0/12,alkopona.cryptojourney.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-12-21T20:40:20Z,2024-01-22T20:40:20Z,CN=dan.com,dan.com,undeveloped.nu,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",b5b21a82544194f1a8a141b54dd8d024,041660297f6cd8de1a528c007f9df74407a1ce6b372e568acc899f78732fade6,ctls,alkopona.cryptojourney.com,443,https://alkopona.cryptojourney.com:443,https,openresty,application/octet-stream,GET,3.64.163.50,/,,3.64.163.50,OpenResty,2,False,,,,,,
assets-www.ftp.cryptojourney.com,,410,3,AS16509,AS16509,Unknown,3.64.0.0/12,assets-www.ftp.cryptojourney.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-12-21T20:40:20Z,2024-01-22T20:40:20Z,CN=dan.com,dan.com,undeveloped.nu,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",b5b21a82544194f1a8a141b54dd8d024,041660297f6cd8de1a528c007f9df74407a1ce6b372e568acc899f78732fade6,ctls,assets-www.ftp.cryptojourney.com,443,https://assets-www.ftp.cryptojourney.com:443,https,openresty,application/octet-stream,GET,3.64.163.50,/,-1839741552,3.64.163.50,OpenResty,2,False,,,,,,
autodiscover.edoverflow.com,HTTP Status 405 – Method Not Allowed,405,760,AS13335,CLOUDFLARENET,US,172.68.28.0/24,autodiscover.1and1.info,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-07-25T06:40:16Z,2023-07-29T23:59:59Z,"CN=autodiscover.1and1.info, L=Montabaur, ST=Rhineland-Palatinate, O=IONOS SE, C=DE",autodiscover.1and1.info,autodiscover.1and1.info,"CN=TeleSec ServerPass Class 2 CA, street=Untere Industriestr. 20, L=Netphen, postalCode=57250, ST=Nordrhein Westfalen, OU=T-Systems Trust Center, O=T-Systems International GmbH, C=DE",TeleSec ServerPass Class 2 CA,T-Systems International GmbH,e9c8a79c8ea0767b24690879e979caf0,8ad688b24d58d445cb11e98152a527492f5f5803ec11110873aaa038d47cc764,ctls,autodiscover.1and1.info,443,https://autodiscover.edoverflow.com:443,https,Apache/2.4.38 (Debian),text/html,GET,172.67.192.130,/,1793429285,2606:4700:3031::ac43:c082,HSTS,1,False,https://autodiscover.1and1.info/Autodiscover/Autodiscover.xml,,cloudflare,True,IONOS SE,https://autodiscover.1and1.info/autodiscover/Autodiscover.xml
backup-enes.ftp.cryptojourney.com,,410,3,AS16509,AS16509,Unknown,3.64.0.0/12,backup-enes.ftp.cryptojourney.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-12-21T20:40:20Z,2024-01-22T20:40:20Z,CN=dan.com,dan.com,undeveloped.nu,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",b5b21a82544194f1a8a141b54dd8d024,041660297f6cd8de1a528c007f9df74407a1ce6b372e568acc899f78732fade6,ctls,backup-enes.ftp.cryptojourney.com,443,https://backup-enes.ftp.cryptojourney.com:443,https,openresty,application/octet-stream,GET,3.64.163.50,/,2019428929,3.64.163.50,OpenResty,2,False,,,,,,
bugbountyguide.com,Bug Bounty Guide,200,10627,AS13335,CLOUDFLARENET,US,172.68.28.0/24,bugbountyguide.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-08T01:57:06Z,2023-08-06T01:57:05Z,CN=bugbountyguide.com,bugbountyguide.com,bugbountyguide.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,87a25d28e786432dd2ecbd187529189e,58ec3e1960854e27b9d7aca1e81e54296b36743d1672982b529c868a9e78f9f8,ctls,bugbountyguide.com,443,https://bugbountyguide.com:443,https,cloudflare,text/html,GET,172.67.201.148,/,-270235880,2606:4700:3037::6815:2ca8,HTTP/3,157,False,,True,cloudflare,True,,
c3-cache.ftp.cryptojourney.com,,410,3,AS16509,AS16509,Unknown,3.64.0.0/12,c3-cache.ftp.cryptojourney.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-12-21T20:40:20Z,2024-01-22T20:40:20Z,CN=dan.com,dan.com,undeveloped.nu,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",b5b21a82544194f1a8a141b54dd8d024,041660297f6cd8de1a528c007f9df74407a1ce6b372e568acc899f78732fade6,ctls,c3-cache.ftp.cryptojourney.com,443,https://c3-cache.ftp.cryptojourney.com:443,https,openresty,application/octet-stream,GET,3.64.163.50,/,,3.64.163.50,OpenResty,2,False,,,,,,
cachejenkinsroot.www.cryptojourney.com,,410,3,AS16509,AS16509,Unknown,3.64.0.0/12,cachejenkinsroot.www.cryptojourney.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-12-21T20:40:20Z,2024-01-22T20:40:20Z,CN=dan.com,dan.com,undeveloped.nu,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",b5b21a82544194f1a8a141b54dd8d024,041660297f6cd8de1a528c007f9df74407a1ce6b372e568acc899f78732fade6,ctls,cachejenkinsroot.www.cryptojourney.com,443,https://cachejenkinsroot.www.cryptojourney.com:443,https,openresty,application/octet-stream,GET,3.64.163.50,/,,3.64.163.50,OpenResty,2,False,,,,,,
confluence-int-users.ftp.cryptojourney.com,,410,3,AS16509,AS16509,Unknown,3.64.0.0/12,confluence-int-users.ftp.cryptojourney.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-12-21T20:40:20Z,2024-01-22T20:40:20Z,CN=dan.com,dan.com,undeveloped.nu,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",b5b21a82544194f1a8a141b54dd8d024,041660297f6cd8de1a528c007f9df74407a1ce6b372e568acc899f78732fade6,ctls,confluence-int-users.ftp.cryptojourney.com,443,https://confluence-int-users.ftp.cryptojourney.com:443,https,openresty,application/octet-stream,GET,3.64.163.50,/,-1964306317,3.64.163.50,OpenResty,2,False,,,,,,
