input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,lines,tech_,cdn,tls_expired
a11y.stitch.gapinc.com,Gap Inc Login,,11184,onelogonqa.gap.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-21T00:00:00Z,"CN=onelogonqa.gap.com, O=The Gap\, Inc., ST=California, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, serialNumber=2157877, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",onelogonqa.gap.com,"The Gap, Inc.","CN=COMODO RSA Extended Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Extended Validation Secure Server CA,COMODO CA Limited,ctls,onelogonqa.gap.com,443,https://a11y.stitch.gapinc.com:443,https,,text/html,GET,54.195.237.234,315,,,
adressed.gapinc.com,Microsoft Azure Web App - Error 404,,2667,adressed.gapinc.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-10T03:05:55Z,"CN=*.azurewebsites.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.azurewebsites.net,Microsoft Corporation,"CN=Microsoft Azure TLS Issuing CA 02, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 02,Microsoft Corporation,ctls,adressed.gapinc.com,443,https://adressed.gapinc.com:443,https,,text/html,GET,13.93.158.16,87,,True,
appsstage.mstr.gapinc.com,,,121,appsstage.mstr.gapinc.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-11T00:00:00Z,"CN=appsstage.mstr.gapinc.com, O=The Gap\, Inc., ST=California, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, serialNumber=2157877, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",appsstage.mstr.gapinc.com,"The Gap, Inc.","CN=COMODO RSA Extended Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Extended Validation Secure Server CA,COMODO CA Limited,ctls,appsstage.mstr.gapinc.com,443,https://appsstage.mstr.gapinc.com:443,https,MicroStrategy,text/html,GET,168.62.161.137,7,HSTS,True,
athleta.stitch.gapinc.com,Gap Inc Login,,11488,onelogonqa.gap.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-06-21T00:00:00Z,"CN=onelogonqa.gap.com, O=The Gap\, Inc., ST=California, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, serialNumber=2157877, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",onelogonqa.gap.com,"The Gap, Inc.","CN=COMODO RSA Extended Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Extended Validation Secure Server CA,COMODO CA Limited,ctls,onelogonqa.gap.com,443,https://athleta.stitch.gapinc.com:443,https,,text/html,GET,54.195.237.234,318,Azure,,
banana-republic.stitch.gapinc.com,Gap Inc Login,,11184,onelogonqa.gap.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-06-21T00:00:00Z,"CN=onelogonqa.gap.com, O=The Gap\, Inc., ST=California, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, serialNumber=2157877, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",onelogonqa.gap.com,"The Gap, Inc.","CN=COMODO RSA Extended Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Extended Validation Secure Server CA,COMODO CA Limited,ctls,onelogonqa.gap.com,443,https://banana-republic.stitch.gapinc.com:443,https,,text/html,GET,54.195.237.234,315,Azure,,
brfs.stitch.gapinc.com,Page Expired,,1659,onelogonqa.gap.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-21T00:00:00Z,"CN=onelogonqa.gap.com, O=The Gap\, Inc., ST=California, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, serialNumber=2157877, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",onelogonqa.gap.com,"The Gap, Inc.","CN=COMODO RSA Extended Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Extended Validation Secure Server CA,COMODO CA Limited,ctls,onelogonqa.gap.com,443,https://brfs.stitch.gapinc.com:443,https,,text/html,GET,52.51.23.169,54,,,
click.email.gapinc.com,403 - Forbidden: Access is denied.,,1233,click.email.gapinc.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-02T00:00:00Z,"CN=click.email.gapinc.com, O=SALESFORCE.COM\, INC., L=San Francisco, ST=California, C=US",click.email.gapinc.com,"SALESFORCE.COM, INC.","CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,click.email.gapinc.com,443,https://click.email.gapinc.com:443,https,,text/html,GET,13.111.39.28,30,HSTS,,
confluence.gapinc.com,Gap Inc Login,,11195,onelogon.gap.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-23T00:00:00Z,"CN=onelogon.gap.com, O=The Gap\, Inc., ST=California, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, serialNumber=2157877, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",onelogon.gap.com,"The Gap, Inc.","CN=COMODO RSA Extended Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Extended Validation Secure Server CA,COMODO CA Limited,ctls,onelogon.gap.com,443,https://confluence.gapinc.com:443,https,,text/html,GET,8.18.111.181,315,,,
corporate.gapinc.com,Home | Gap Inc.,,66929,www.gapinc.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-01T00:00:00Z,"CN=www.gapinc.com, O=The Gap\, Inc., ST=California, C=US",www.gapinc.com,"The Gap, Inc.","CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,ctls,www.gapinc.com,443,https://corporate.gapinc.com:443,https,Microsoft-IIS/10.0,text/html,GET,13.93.158.16,947,Windows Server,True,
cross-brand.stitch.gapinc.com,Page Expired,,1659,onelogonqa.gap.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-21T00:00:00Z,"CN=onelogonqa.gap.com, O=The Gap\, Inc., ST=California, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, serialNumber=2157877, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",onelogonqa.gap.com,"The Gap, Inc.","CN=COMODO RSA Extended Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Extended Validation Secure Server CA,COMODO CA Limited,ctls,onelogonqa.gap.com,443,https://cross-brand.stitch.gapinc.com:443,https,,text/html,GET,54.195.237.234,54,,,
empdiscount.gapinc.com,Gap Inc Login,,11198,onelogon.gap.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-23T00:00:00Z,"CN=onelogon.gap.com, O=The Gap\, Inc., ST=California, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, serialNumber=2157877, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",onelogon.gap.com,"The Gap, Inc.","CN=COMODO RSA Extended Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Extended Validation Secure Server CA,COMODO CA Limited,ctls,onelogon.gap.com,443,https://empdiscount.gapinc.com:443,https,,text/html,GET,20.62.191.6,315,,True,
